,Argument ID,Conclusion,Stance,Premise,text,category,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
0,A01002,We should ban human cloning,in favor of,we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same.,we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same. in favor of We should ban human cloning,['Security: societal'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,A01005,We should ban fast food,in favor of,fast food should be banned because it is really bad for your health and is costly.,fast food should be banned because it is really bad for your health and is costly. in favor of We should ban fast food,['Security: personal'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,A01006,We should end the use of economic sanctions,against,sometimes economic sanctions are the only thing that will get the corrupt governments to take action,sometimes economic sanctions are the only thing that will get the corrupt governments to take action against We should end the use of economic sanctions,"['Power: dominance', 'Security: societal']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,A01007,We should abolish capital punishment,against,capital punishment is sometimes the only option to keep criminals from committing more crimes.,capital punishment is sometimes the only option to keep criminals from committing more crimes. against We should abolish capital punishment,"['Security: societal', 'Conformity: rules', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
4,A01008,We should ban factory farming,against,"factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income.","factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income. against We should ban factory farming","['Security: personal', 'Benevolence: caring', 'Universalism: concern']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
5,A01009,We should fight for the abolition of nuclear weapons,against,nuclear weapons help keep the peace in uncertain times,nuclear weapons help keep the peace in uncertain times against We should fight for the abolition of nuclear weapons,"['Security: societal', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,A01010,We should prohibit school prayer,against,it should be allowed if the student wants to pray as long as it is not interfering with his classes,it should be allowed if the student wants to pray as long as it is not interfering with his classes against We should prohibit school prayer,"['Self-direction: thought', 'Self-direction: action', 'Tradition', 'Universalism: concern']",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,A01011,We should abolish the three-strikes laws,in favor of,three strike laws can cause young people to be put away for life without a chance to straight out their life,three strike laws can cause young people to be put away for life without a chance to straight out their life in favor of We should abolish the three-strikes laws,"['Achievement', 'Face', 'Benevolence: caring', 'Universalism: tolerance', 'Universalism: objectivity']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
8,A01014,We should adopt an austerity regime,against,adopting austerity regime will have very negative impact on the poor and the vulnerable in society.,adopting austerity regime will have very negative impact on the poor and the vulnerable in society. against We should adopt an austerity regime,['Universalism: concern'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,A01015,We should adopt an austerity regime,in favor of,we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up,we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up in favor of We should adopt an austerity regime,"['Security: personal', 'Security: societal', 'Benevolence: dependability']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
10,A01016,We should adopt gender-neutral language,against,"gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words.","gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words. against We should adopt gender-neutral language","['Tradition', 'Conformity: rules']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,A01018,We should end the use of economic sanctions,against,economic sanctions provide a non-military sanction to use against countries.,economic sanctions provide a non-military sanction to use against countries. against We should end the use of economic sanctions,"['Power: dominance', 'Universalism: concern']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,A01019,We should ban factory farming,in favor of,"factory farming cuts too many health and safety corners as opposed to smaller family farms, this leads to potentially unsafe and unhealthy products.","factory farming cuts too many health and safety corners as opposed to smaller family farms, this leads to potentially unsafe and unhealthy products. in favor of We should ban factory farming","['Security: personal', 'Conformity: rules']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
13,A01020,We should subsidize journalism,in favor of,"It is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization.","It is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization. in favor of We should subsidize journalism",['Self-direction: thought'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,A02003,We should cancel pride parades,against,there are parades for every group and it is discrimination not to give gays their parade,there are parades for every group and it is discrimination not to give gays their parade against We should cancel pride parades,"['Face', 'Humility', 'Universalism: concern', 'Universalism: tolerance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
15,A02004,We should ban cosmetic surgery for minors,in favor of,children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child.,children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child. in favor of We should ban cosmetic surgery for minors,"['Benevolence: dependability', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
